Date,CPI
1970-12-31,0.0210403440385834
1971-12-31,0.0212717878227975
1972-12-31,0.0212507474789693
1973-12-31,0.0217767560799338
1974-12-31,0.02331270119454
1975-12-31,0.0238387097955046
1976-12-31,0.0248907269974338
1977-12-31,0.0261110669516716
1978-12-31,0.0282263938945918
1979-12-31,0.0302095129035795
1980-12-31,0.0331346134418364
1981-12-31,0.0394723312747263
1982-12-31,0.0803493718474856
1983-12-31,0.100866390594638
1984-12-31,0.116400822831708
1985-12-31,0.129811665129987
1986-12-31,0.151295454394021
1987-12-31,0.191205724449899
1988-12-31,0.303483312342087
1989-12-31,1.04565458412792
1990-12-31,6.98370529558457
1991-12-31,12.3450608772187
1992-12-31,18.0359564324483
1993-12-31,24.7027974182191
1994-12-31,32.8525656447118
1995-12-31,42.0353139210796
1996-12-31,50.3561904063371
1997-12-31,57.8658889540854
1998-12-31,64.57709109579
1999-12-31,69.1969832771013
2000-12-31,76.0476059850374
2001-12-31,80.1605156227079
2002-12-31,81.6877996186005
2003-12-31,82.2454833504474
2004-12-31,85.0275575766466
2005-12-31,86.8843882939709
2006-12-31,88.0005867683732
2007-12-31,90.1642951444916
2008-12-31,93.9196127328737
2009-12-31,97.4842305999706
2010-12-31,100.0
2011-12-31,104.239401496259
2012-12-31,107.950711456652
2013-12-31,109.021563737715
2014-12-31,109.080240575033
2015-12-31,108.126741968608
2016-12-31,107.407950711457
2017-12-31,109.637670529558
2018-12-31,111.625348393722
2019-12-31,114.111779375092
2020-12-31,117.962446824116
2021-12-31,123.925480416605
2022-12-31,141.807246589409
2023-12-31,158.156080387267
2024-12-31,164.151158966994
2025-12-31,170.412204782162
